"Page","Section","Section Description"
"","Hero Header Section","Your Journey to Legend Status Begins Now. Create your unique trading persona and join the arena. The path is simple, fast, and secure. CTA: Start the Journey (smooth scroll to next section)"
"","Feature Section","Enter Your Email: This is your key to the arena. We respect your privacy and will only use this for essential communication. Input Field: Email input with Continue button."
"","Feature Section","Connect a Social Account: DAYRADE is a community. Connecting an account helps us verify your identity and allows you to easily share your profile and achievements. CTA: Buttons for Twitter/X, Instagram, Discord, Twitch."
"","Feature Section","Generate Your Spirit Animal: Your persona is a reflection of your trading style. What animal represents you? (e.g., ""Wolf,"" ""Eagle,"" ""Dolphin,"" ""Dragon""). Our AI will generate a unique avatar for you. Interaction: User types any animal, AI generates custom avatar."
"","Feature Section","Your Digital Identity, Forged: This is your DAYRADE Profile Card. It's your link-in-bio, your digital resume, and your calling card for the entire trading world. Customize it to reflect your brand. Visual: 8-10 different profile card designs cycle through."
"","Feature Section","Add Your Links: Turn your profile card into your personal hub. Add all your social media accounts, websites, and projects. This is your space to own. Interaction: User adds social links and websites."
"","Feature Section","Get Your Affiliate Code: Share your card and earn rewards. When someone signs up through your link, you both get reward points that can be used for free tournament entries. The more you share, the more you earn. Visual: QR code and referral link generated."
"","Feature Section","Welcome to DAYRADE: Your profile is live. You can now explore the dashboard, watch live tournaments, and join the community. To compete, you need to become a validated user. Primary CTA: Explore the Dashboard. Secondary CTA: Become a Validated User (Start KYC)."
"","Feature Section","Become a Validated User: To compete in tournaments, purchase tickets, and unlock the full power of DAYRADE, you need to complete our fast and secure KYC process. This ensures a fair and safe arena for everyone. CTA: Start Secure KYC."
"","Footer",""
"Verification (KYC)","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","Mixed-Weight Headline: Secure. Fast. Required. Subheadline: To compete in tournaments and withdraw winnings, you must complete our secure KYC (Know Your Customer) verification. This ensures a fair arena and protects all users. CTA: Start Verification."
"","Feature Section","Why KYC Matters: Fair Play Requires Verified Players. Body: KYC prevents multiple accounts, fraud, and manipulation. It ensures that every trader competes on a level playing field. Your information is encrypted and never shared."
"","Feature Section","The Verification Process: Three Simple Steps. Step 1: Personal Information - Provide your full name, date of birth, and address. Step 2: Identity Document - Upload a government-issued ID (passport, driver's license, or national ID). Step 3: Verification - Our system verifies your information within 24 hours. You'll receive an email confirmation."
"","Feature Section","Your Data is Safe: Bank-Level Security. Body: We use 256-bit encryption and comply with international data protection standards. Your information is stored securely and never sold or shared with third parties."
"","CTA Section","Encourage users to complete the verification process now."
"","Footer",""
"Trading Accounts & Tickets","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","Mixed-Weight Headline: <span class=""weight-700"">Your Key</span> <span class=""weight-400"">to the</span> <span class=""weight-700 italic"">Arena.</span> Subheadline: Understand how tournament tickets and trading accounts work. Our system is designed for fairness, transparency, and simplicity."
"","Feature Section","How Tickets Work: Each tournament requires a ticket for entry. This ensures that all competitors have a vested interest in performing their best. Tickets can be purchased directly or earned through rewards and referrals."
"","Feature Section","Trading Accounts: When a tournament starts, your ticket grants you access to a special, tournament-only trading account, pre-funded with a set amount of virtual capital. Everyone in the tournament starts with the same amount. This is not your personal capital; it is the tournament's playing field. Your performance in this account determines your rank."
"","Feature Section","Transparency: Ticket prices are clearly displayed. There are no hidden fees, no withdrawal restrictions (for winnings), and no conflicts of interest. You know exactly what you're paying for and what you can win."
"","CTA Section","Encourage visitors to view the tournament schedule and participate."
"","Footer",""
"Rewards & User Status","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","Mixed-Weight Headline: <span class=""weight-700"">Earn More</span> <span class=""weight-400"">Than Just</span> <span class=""weight-700 italic"">Winnings.</span><br>Subheadline: In the DAYRADE arena, your skill earns you status, recognition, and rewards that go far beyond the prize pool."
"","Feature Section","Section Headline: How You Earn<br>Feature 1: Tournament Winnings - Finish in the top tier of a tournament to win real cash, which can be withdrawn or used to fund your personal trading.<br>Feature 2: Reward Points - Earn Reward Points for completing daily lessons, participating in community events, and referring new users. Redeem points for free tournament tickets.<br>Feature 3: Leaderboard Recognition - Your performance is tracked publicly. Climb the leaderboard and earn respect from the entire community."
"","Feature Section","Section Headline: Climb the Ranks of Status<br>Body: As you compete and learn, your user status grows, unlocking new perks and recognition.<br>Visual: Progression path showing status levels (e.g., Novice → Apprentice → Contender → Pro → Veteran → Legend) with perks at each level<br>Example Perks: Early access to new tournaments, Exclusive community channels, Priority customer support, Featured profile on homepage."
"","CTA Section","Section Headline: <span class=""weight-700"">Start Earning</span> <span class=""weight-400"">Today.</span><br>CTA: Enter Your First Tournament"
"","Footer",""
"Divisions","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","HTML<br><span class=""weight-700"">The Arena</span> <span class=""weight-400"">Where</span> <span class=""weight-700 italic"">Skill Wins.</span><br>Subheadline: DAYRADE tournaments are time-bound, skill-based competitions where every trader starts with the same virtual capital. Your performance determines your rank. Top performers win real prizes.<br>CTA: Enter a Tournament."
"","Feature Section","Section Headline: Find Your Division. Elevator Division: Perfect for beginners. Learn the fundamentals, practice your strategy, and earn free tickets to higher divisions. Crusader Division: For traders with a solid foundation. Compete for cash prizes and prove your consistency. Raider Division: Elite competition. The highest stakes, the biggest prizes, and the most intense trading environment.<br>CTA: View Division Details."
"","Feature Section","Section Headline: How Tournaments Work. Step 1: Registration Opens. Browse upcoming tournaments and register with a ticket. See the rules, prize pool, and start time. Step 2: Tournament Begins. All participants receive the same starting capital in a dedicated tournament account. Trade your strategy. Step 3: Live Leaderboard. Watch your rank in real-time. See who's climbing and who's falling. Step 4: Tournament Ends. Trading closes. Final rankings are calculated. Winners are announced. Step 5: Prizes Distributed. Top performers receive cash prizes or reward points, which are credited to their accounts within 24 hours."
"","Feature Section","HTML<br><span class=""weight-700"">Fair Play.</span> <span class=""weight-400"">Always.</span><br>Body: Every DAYRADE tournament operates under strict rules to ensure integrity. Our anti-cheat system monitors all activity. Everyone starts equal. Your skill is the only variable. Feature 1: Equal Starting Capital. No advantages. Everyone begins with the same amount. Feature 2: Verified Participants. KYC ensures one account per person. Feature 3: Transparent Rules. All tournament rules are published before registration. Feature 4: Real-Time Monitoring. Suspicious activity is flagged and investigated immediately."
"","Feature Section","HTML<br><span class=""weight-700"">Win More</span> <span class=""weight-400"">Than Just</span> <span class=""weight-700 italic"">Money.</span><br>Body: Top finishers earn cash prizes, reward points, and recognition. Your performance is tracked on the leaderboard, and your profile card displays your achievements for the entire community to see.<br>CTA: View Leaderboard."
"","Footer",""
"Elevator","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","HTML mixed-weight headline: <span class=""weight-700"">Start Here.</span> <span class=""weight-400"">Rise</span> <span class=""weight-700 italic"">Everywhere.</span> Subheadline: The Elevator Division is designed for beginners. Learn the fundamentals of day trading in a safe, supportive environment. No risk. All reward. CTA: Enter Elevator Division."
"","Feature Section","Problem: You want to learn day trading, but you're afraid of losing money. Most platforms throw you into the deep end with real capital and no guidance."
"","Feature Section","Agitate: Without structure or education, you're gambling, not trading. One bad decision can wipe out your account and your confidence."
"","Feature Section","Solution: The Elevator Division gives you a structured, risk-free environment to learn. Compete with virtual capital, access daily lessons, and build your skills before risking a single dollar."
"","Features List Section","Section Headline: Everything You Need to Start. Feature 1: Free Entry - No cost to join. Your registration gives you access to Elevator tournaments. Feature 2: Daily Lessons - Learn risk management, chart reading, and trading psychology from our curated curriculum. Feature 3: Real Competition - Compete against other beginners. Experience the pressure and excitement of live trading without the risk. Feature 4: Reward Points - Top performers earn points that can be redeemed for tickets to Crusader Division tournaments."
"","Feature Section","Section Headline: Perfect for Beginners. Body: If you're new to trading, curious about financial markets, or want to test your skills without risking money, the Elevator Division is your starting point. You'll learn the fundamentals, build confidence, and earn your way to higher divisions. CTA: Start Learning & Competing."
"","Footer",""
"Crusader","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","<span class=""weight-700"">Prove Your Skill.</span> <span class=""weight-400"">Earn</span> <span class=""weight-700 italic"">Real Rewards.</span> The Crusader Division is for traders who have mastered the basics and are ready to compete for cash prizes. Consistency wins here. CTA: Enter Crusader Division"
"","Feature Section","Built for Intermediate Traders - You know how to trade, but you struggle with consistency. You need structure, accountability, and a way to measure your progress against real competition. The Crusader Division provides all three."
"","Features List Section","Structure, Stakes, and Recognition - Feature 1: Low-Cost Entry - Affordable tickets give you access to tournaments with real cash prizes. Feature 2: Meaningful Prize Pools - Top performers win up to $1,000 per tournament. Feature 3: Performance Analytics - Track your win rate, average P&L, and rank over time. See where you excel and where you need to improve. Feature 4: Leaderboard Recognition - Climb the Crusader leaderboard and earn respect from the community."
"","Feature Section","For Traders Who Are Ready - If you've completed the Elevator Division or already have trading experience, the Crusader Division is where you prove your skill. This is where discipline and strategy separate winners from the rest. CTA: Enter a Crusader Tournament"
"","Footer",""
"Raider","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","<span class=""weight-700"">Elite Traders.</span> <span class=""weight-400"">Elite</span> <span class=""weight-700 italic"">Prizes.</span> The Raider Division is the pinnacle of DAYRADE competition. Only the most skilled and disciplined traders compete here. Prize pools reach $10,000. CTA: Enter Raider Division."
"","Feature Section","The Highest Stakes - Raider Division tournaments are not for everyone. Entry requires premium tickets, and the competition is fierce. But for those who rise to the challenge, the rewards are unmatched."
"","Features List Section","Maximum Competition, Maximum Reward - Premium Tournaments: Higher entry costs mean larger prize pools and more serious competition. $10,000 Prize Pools: Top finishers earn life-changing cash prizes. Elite Leaderboard: Your name on the Raider leaderboard is a mark of true skill. Exclusive Community: Connect with the best traders on the platform. Share strategies and insights."
"","Feature Section","For the Best of the Best - If you've dominated the Crusader Division and are ready for the ultimate test, the Raider Division awaits. This is where legends are made. CTA: Prove You Belong."
"","CTA Section","Encourage advanced traders to sign up and compete in the Raider Division."
"","Stats Section","Display key statistics about the Raider Division, including average prize pool amounts and success stories."
"","Testimonial Section","Quotes from top traders who have succeeded in the Raider Division, highlighting their experiences and rewards."
"","Contact Section","Provide contact information for support and inquiries specific to the Raider Division."
"","Footer",""
"Tournaments","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","H1: <span class=""weight-700"">Compete.</span> <span class=""weight-400"">Prove Your</span> <span class=""weight-700 italic"">Skill.</span> Subhead: DAYRADE tournaments are time-bound competitions where everyone starts equal. Trade with virtual capital. Climb the leaderboard. Win real prizes. CTA: View Schedule"
"","How It Works Section","H2: <span class=""weight-700"">Fair.</span> <span class=""weight-400"">Transparent.</span> <span class=""weight-700 italic"">Thrilling.</span> Registration — Browse schedule. Choose your tournament. Register with a ticket. Tournament Starts — Everyone receives same virtual capital. Trade your strategy. Live Leaderboard — Watch your rank in real-time. See who's climbing. Tournament Ends — Trading closes. Final rankings calculated. Winners announced. Prizes Distributed — Top performers receive cash or reward points within 24 hours."
"","Feature Section","H2: More Than Just Prizes Win Real Money — Cash prizes up to $10,000 in Raider Division. Build Your Skill — Compete under pressure. Learn what works. Improve fast. Earn Recognition — Climb the leaderboard. Get featured. Build your reputation. Join a Community — Connect with traders worldwide. Share strategies. Grow together."
"","Feature Section","H2: Built for Fairness Equal Starting Capital — Everyone begins with the same amount. Skill determines rank. Verified Participants — KYC ensures one account per person. No cheating. Transparent Rules — All rules published before registration. No surprises. Anti-Cheat System — Real-time monitoring. Suspicious activity flagged immediately."
"","CTA Section","H2: Get Started Schedule — Browse upcoming tournaments. See times, divisions, prize pools. Leaderboard — Check top performers. See where you rank. Creator Kit — Stream tournaments. Build your brand. Earn through affiliates. CTA: View Schedule"
"","Footer",""
"Leaderboard","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","<span class=""weight-700"">The Climb is Real.</span> <span class=""weight-400"">This is where</span> <span class=""weight-700 italic"">legends are made.</span>. Track the top performers across all divisions. Filter by global rank, division, or follow your friends to see who has the ultimate edge. Filter Options: Global"
"","Feature Section","Dynamic leaderboard table with columns for Rank, Spirit Animal Avatar, Trader Name, P&L / Score, Win Rate %, and a Follow button. Clicking a row expands to show detailed stats."
"","CTA Section","<span class=""weight-700"">Your Name</span> <span class=""weight-400"">Could Be</span> <span class=""weight-700 italic"">Up There.</span>. The only way to climb is to compete. Enter the Elevator division, prove your skill, and start your journey to the top. CTA: Enter a Tournament."
"","Footer",""
"Schedule","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","HTML: <span class=""weight-700"">Plan Your Edge.</span> <span class=""weight-400"">Know when to</span> <span class=""weight-700 italic"">trade and when to watch.</span> Subheadline: Our integrated calendar shows you all upcoming DAYRADE tournaments and key market-moving economic events. Sync with your personal calendar and never miss a beat. CTA: Sync to Your Calendar"
"","Feature Section","Introduction to the schedule page and its importance for traders."
"","Feature Section","Explanation of the different types of events: Tournaments and Economic Events."
"","Feature Section","Details on filtering options: show only tournaments, only high-impact events, or both."
"","Feature Section","Highlight the interactive features: Click an event to open a modal with details and registration button."
"","Feature Section","Information on how to sync the calendar with your personal calendar."
"","Feature Section","Provide tips on how to use the schedule to maximize trading opportunities."
"","Feature Section","Showcase a sample of upcoming key events for the next week."
"","Contact Section","Provide contact information for support and inquiries related to the schedule and events."
"","Footer",""
"Creator Kit","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
"","Hero Header Section","<span class=""weight-700"">Stream Dayrade</span> <span class=""weight-400"">Like a</span> <span class=""weight-700 italic"">Pro.</span> We believe in community-driven growth. The Creator Kit helps streamers, educators, and commentators represent Dayrade authentically. Get logos, overlays, stingers, and 3D avatars ready for OBS and Unreal Engine. Everything PG-safe and brand-aligned. CTA: Download Kit"
"","Feature Section","Section Headline: Keep It Consistent. Body: Keep the color palette consistent: #0B0E12 background, #00FFC6 and #FF6A3D accents, Plus Jakarta Sans typography. Don't distort logos or add slogans. When in doubt, ask our media team for approval. We support creativity but protect clarity."
"","Feature Section","Section Headline: Grow Together. Body: Affiliates earn revenue through referral codes and sponsored segments. Streamers with verified status get early access to Raider streams and media drops. Collaboration turns audience into community. CTA: Apply for Partnership"
"","CTA Section","Section Headline: Build Your Brand Inside Ours. Primary CTA: Download Kit. Secondary CTA: Apply for Partnership"
"","Footer",""
"Learn","Navbar","Company description:
DAYRADE is a skill-based esports arena for competitive day traders. Users compete in fair tournaments across three divisions (Elevator, Crusader, Raider), build AI spirit animal personas, and learn financial literacy through daily lessons and educational content.

Goals:
- Primary: Drive user sign-ups and KYC verification
- Secondary: Tournament registrations, community engagement via podcast/blog

Other relevant notes:
- Include these pages: Home, Onboarding Flow, KYC Verification, Trading Accounts & Tickets, Rewards & User Status, Divisions Overview, Elevator Division, Crusader Division, Raider Division, Tournaments Overview, Leaderboard, Schedule, Creator Kit, Learn Overview, Daily Lessons, Glossary, Community Overview, Podcast, Blog/Episodes, Player Spotlights, About Overview, Our Story, Contact/Support, FAQ
- Template pages for: Single Lesson, Single Glossary Term, Single Podcast Episode, Single Blog Post, Single Player Spotlight
- Design: Dual-theme (light/dark), Olymptrade style (dark, high-tech, 3D, neon accents)
- No social proof (startup)
- 6-10 sections per page"
